Category,Metric,Value
General,design__lint_error__count,0
General,design__lint_warning__count,442
General,design__inferred_latch__count,0
General,design__instance_unmapped__count,0
General,flow__errors__count,0
General,design__power_grid_violation__count,0
General,antenna__violating__nets,0
General,route__drc_errors,0
General,design__disconnected_pin__count,0
General,design__xor_difference__count,0
General,magic__drc_error__count,0
General,klayout__drc_error__count,0
General,design__lvs_error__count,0
Timing,clock__skew__worst_hold,-0.2592974797159472
Timing,clock__skew__worst_setup,0.2593566268492569
Timing,timing__hold__ws,0.11013706924871983
Timing,timing__setup__ws,16.088219212210145
Timing,timing__hold__tns,0
Timing,timing__setup__tns,0
Timing,timing__hold__wns,0
Timing,timing__setup__wns,0
Timing,timing__hold_vio__count,0
Timing,timing__hold_r2r__ws,0.110137
Timing,timing__hold_r2r_vio__count,0
Timing,timing__setup_vio__count,0
Timing,timing__setup_r2r__ws,21.153004
Timing,timing__setup_r2r_vio__count,0
Area and Utilization,design__instance__count,1311
Area and Utilization,design__instance__area,10661.5
Area and Utilization,design__io,134
Area and Utilization,design__die__area,20567.8
Area and Utilization,design__core__area,15885.2
Area and Utilization,design__instance__count__stdcell,1311
Area and Utilization,design__instance__area__stdcell,10661.5
Area and Utilization,design__instance__count__macros,0
Area and Utilization,design__instance__area__macros,0
Area and Utilization,design__instance__utilization,0.671156
Area and Utilization,design__instance__count__class:inverter,164
Area and Utilization,design__instance__count__class:sequential_cell,170
Area and Utilization,design__instance__count__class:multi_input_combinational_cell,348
Area and Utilization,floorplan__design__io,132
Routing,design__max_slew_violation__count,0
Routing,design__max_fanout_violation__count,11
Routing,design__max_cap_violation__count,0
Routing,route__antenna_violation__count,0
Routing,route__net,1147
Routing,route__drc_errors,0
Routing,route__wirelength,21560
Routing,route__vias,6401
Routing,route__wirelength__max,326.5
Power,power__internal__total,0.0006977320299483836
Power,power__switching__total,0.00032900518272072077
Power,power__leakage__total,1.3650534036457884E-8
Power,power__total,0.001026750891469419
Power,design__power_grid_violation__count__net:VGND,0
Power,design__power_grid_violation__count__net:VPWR,0
Power,design_powergrid__voltage__worst__net:VPWR,1.79937
Power,design_powergrid__drop__worst__net:VPWR,0.000633442
Power,design_powergrid__voltage__worst__net:VGND,0.000770355
Power,design_powergrid__drop__worst__net:VGND,0.000770355
